year,week,et_value
2023,41,292.0
2023,42,166.0
2023,43,191.0
2023,44,164.5
2023,45,138.0
2023,46,133.75
2023,47,129.5
2023,48,125.25
2023,49,121.0
2023,50,116.0
2023,51,101.0
2023,52,54.0
